unique_fov,Marker,r,Theoretical G,Observed G,Permuted G,Degree of Clustering Permutation,Degree of Clustering Theoretical,Run
Lung9_Rep1_F01,b,160,0.7974818430598671,0.9930313588850174,0.7939099737087678,0.19912138517624955,0.19554951582515023,1
Lung9_Rep1_F01,b,170,0.8351599122644864,0.9928825622775801,0.8298239219221683,0.16305864035541184,0.1577226500130937,1
Lung9_Rep1_F01,b,180,0.8674915855464823,0.9927797833935018,0.8655474458952841,0.12723233749821772,0.1252881978470195,1
Lung9_Rep1_F01,b,190,0.8948024010434313,0.992619926199262,0.8909045965662924,0.10171532963296959,0.09781752515583064,1
Lung9_Rep1_F01,b,200,0.9175197540311568,0.9925093632958801,0.9137357699596982,0.07877359333618195,0.07498960926472331,1
Lung9_Rep1_F01,c,0,0,0,0,0,0,1
Lung9_Rep1_F01,c,10,0.0035443099770789965,0,0,0,-0.0035443099770789965,1
Lung9_Rep1_F01,c,20,0.014102045047603373,0,0,0,-0.014102045047603373,1
Lung9_Rep1_F01,c,30,0.031450273208525226,0.05555555555555555,0.0035030419705492175,0.05205251358500634,0.024105282347030327,1
Lung9_Rep1_F01,c,40,0.055226152358532454,0.26851851851851855,0.022380562772235556,0.246137955746283,0.2132923661599861,1
Lung9_Rep1_F01,c,50,0.08493954798712622,0.5581395348837209,0.06201389980587565,0.4961256350778453,0.4731999868965947,1
Lung9_Rep1_F01,c,60,0.11998982870430752,0.7441860465116279,0.11195889601075432,0.6322271505008736,0.6241962178073204,1
Lung9_Rep1_F01,c,70,0.15968603599549513,0.8130841121495327,0.15458931767561282,0.6584947944739199,0.6533980761540376,1
Lung9_Rep1_F01,c,80,0.2032694830804489,0.8504672897196262,0.20600619100418374,0.6444610987154424,0.6471978066391773,1
Lung9_Rep1_F01,c,90,0.24993775299851162,0.8644859813084113,0.25004147743545224,0.614444503872959,0.6145482283098996,1
Lung9_Rep1_F01,c,100,0.2988690413291203,0.883177570093458,0.30065195205657164,0.5825256180368863,0.5843085287643377,1
Lung9_Rep1_F01,c,110,0.34924582332400433,0.883177570093458,0.3492628320470366,0.5339147380464213,0.5339317467694537,1
Lung9_Rep1_F01,c,120,0.40027691370642926,0.9061032863849765,0.3982928819903281,0.5078104043946484,0.5058263726785472,1
Lung9_Rep1_F01,c,130,0.45121712157364946,0.9107981220657277,0.4519100194812557,0.45888810258447205,0.4595810004920783,1
Lung9_Rep1_F01,c,140,0.5013838716903691,0.9198113207547169,0.5015034991844148,0.4183078215703021,0.4184274490643478,1
Lung9_Rep1_F01,c,150,0.5501703543159768,0.9292452830188679,0.5496445522870438,0.3796007307318241,0.37907492870289106,1
Lung9_Rep1_F01,c,160,0.5970549653166296,0.9339622641509434,0.5970187662479143,0.33694349790302913,0.3369072988343138,1
Lung9_Rep1_F01,c,170,0.6416069938684297,0.933649289099526,0.6477058780162126,0.28594341108331345,0.29204229523109637,1
Lung9_Rep1_F01,c,180,0.6834886951071888,0.943127962085308,0.6897600578190751,0.2533679042662329,0.25963926697811923,1
Lung9_Rep1_F01,c,190,0.722454040249253,0.9476190476190476,0.7299981618276324,0.21762088579141514,0.2251650073697946,1
Lung9_Rep1_F01,c,200,0.7583445601930192,0.9523809523809523,0.766800063294855,0.18558088908609738,0.19403639218793312,1
